mlbmid,player_name,bats
656305,"Chapman, Matt",R
656413,"Fairchild, Stuart",R
656537,"Hill, Derek",R
656555,"Hoskins, Rhys",R
656582,"Joe, Connor",R
656716,"McKinstry, Zach",L
656775,"Mullins, Cedric",L
656811,"O'Hearn, Ryan",L
656896,"Rivera, Emmanuel",R
656941,"Schwarber, Kyle",L
656976,"Smith, Pavin",L
657041,"Thomas, Lane",R
657077,"Verdugo, Alex",L
657136,"Wong, Connor",R
657557,"DeJong, Paul",R
657656,"Laureano, Ramón",R
657757,"Sheets, Gavin",L
660162,"Moncada, Yoán",S
660271,"Ohtani, Shohei",L
660644,"Bruján, Vidal",S
660670,"Acuña Jr., Ronald",R
660688,"Ruiz, Keibert",S
660757,"Gonzalez, Oscar",R
660821,"Sánchez, Jesús",L
660844,"Rivas, Leo",S
661388,"Contreras, William",R
662139,"Varsho, Daulton",L
663457,"Nootbaar, Lars",L
663538,"Hoerner, Nico",R
663584,"Senger, Hayden",R
663586,"Riley, Austin",R
663604,"Lockridge, Brandon",R
663609,"Baker, Luken",R
663616,"Larnach, Trevor",L
663624,"Mountcastle, Ryan",R
663647,"Hayes, Ke'Bryan",R
663656,"Tucker, Kyle",L
663662,"Cameron, Daz",R
663697,"India, Jonathan",R
663698,"Bart, Joey",R
663728,"Raleigh, Cal",S
663743,"Fortes, Nick",R
663757,"Grisham, Trent",L
663796,"Montes, Coco",R
663837,"Vierling, Matt",R
663853,"Gonzalez, Romy",R
663886,"Stephenson, Tyler",R
663897,"Williams, Luke",R
663898,"Rodgers, Brendan",R
663968,"Mangum, Jake",S
663993,"Lowe, Nathaniel",L
664023,"Happ, Ian",S
664034,"France, Ty",R
664040,"Lowe, Brandon",L
664056,"Bader, Harrison",R
664059,"Haggerty, Sam",S
664238,"Moore, Dylan",R
664702,"Straw, Myles",R
664728,"Isbel, Kyle",L
664761,"Bohm, Alec",R
664770,"Lukes, Nathan",L
664774,"Wade Jr., LaMonte",L
664913,"Brown, Seth",L
664983,"McCarthy, Jake",L
665019,"Clemens, Kody",L
665052,"Conine, Griffin",L
665155,"Maton, Nick",L
665161,"Peña, Jeremy",R
665487,"Tatis Jr., Fernando",R
665489,"Guerrero Jr., Vladimir",R
665561,"Marchán, Rafael",S
665742,"Soto, Juan",L
665750,"Taveras, Leody",S
665804,"Amaya, Miguel",R
665828,"Cabrera, Oswaldo",S
665833,"Cruz, Oneil",L
665839,"Valdez, Enmanuel",L
665862,"Chisholm Jr., Jazz",L
665926,"Giménez, Andrés",L
665966,"Narváez, Carlos",R
666018,"Aranda, Jonathan",L
666023,"Fermin, Freddy",R
666134,"Jones, Nolan",L
666139,"Lowe, Josh",L
666149,"Fitzgerald, Tyler",R
666152,"Hamilton, David",L
666158,"Lux, Gavin",L
666160,"Moniak, Mickey",L
666163,"Rortvedt, Ben",L
666165,"Sabol, Blake",L
666176,"Adell, Jo",R
666181,"Benson, Will",L
666182,"Bichette, Bo",R
666185,"Carlson, Dylan",S
666310,"Naylor, Bo",L
666397,"Julien, Edouard",L
666624,"Morel, Christopher",R
666915,"Dalbec, Bobby",R
666969,"García, Adolis",R
666971,"Gurriel Jr., Lourdes",R
667472,"Myers, Dane",R
667670,"Rooker, Brent",R
668227,"Arozarena, Randy",R
668670,"Rogers, Jake",R
668709,"Bleday, JJ",L
668715,"Steer, Spencer",R
668731,"Baddoo, Akil",L
668804,"Reynolds, Bryan",S
668845,"Schunk, Aaron",R
668901,"Vientos, Mark",R
668904,"Lewis, Royce",R
668930,"Turang, Brice",L
668939,"Rutschman, Adley",S
668942,"Rojas, Josh",L
668952,"Kreidler, Ryan",R
668974,"Handley, Maverick",R
669003,"Mitchell, Garrett",L
669004,"Melendez, MJ",L
669016,"Marsh, Brandon",L
669065,"Stowers, Kyle",L
669087,"Huff, Sam",R
669127,"Langeliers, Shea",R
669134,"Campusano, Luis",R
669194,"Nelson, Ryne",R
669200,"McCoy, Mason",R
669208,"Bliss, Ryan",R
669221,"Murphy, Sean",R
669224,"Wells, Austin",L
669234,"Malloy, Justyn-Henry",R
669242,"Edman, Tommy",S
669256,"Solak, Nick",R
669257,"Smith, Will",R
669261,"Suwinski, Jack",L
669289,"Espinal, Santiago",R
669304,"Miranda, Jose",R
669357,"Gorman, Nolan",L
669364,"Edwards, Xavier",S
669392,"Taylor, Samad",R
669394,"Burger, Jake",R
669397,"Allen, Nick",R
669398,"Workman, Gage",L
669477,"Schmitt, Casey",R
669701,"Smith, Josh",L
669707,"Triolo, Jared",R
669717,"Wilson, Will",R
669720,"Hays, Austin",R
669722,"Davidson, Logan",R
669743,"Call, Alex",R
669911,"Toglia, Michael",S
670032,"Lopez, Nicky",L
670042,"Raley, Luke",L
670156,"Mastrobuoni, Miles",L
670223,"Mervis, Matt",L
670224,"Misner, Kameron",L
670231,"Rave, John",L
670242,"Wallner, Matt",L
670276,"Stevenson, Cal",L
670541,"Alvarez, Yordan",L
670623,"Paredes, Isaac",R
670764,"Walls, Taylor",S
670770,"Friedl, TJ",L
671056,"Herrera, Iván",R
671213,"Casas, Triston",L
671218,"Ramos, Heliot",R
671221,"Waters, Drew",S
671277,"García Jr., Luis",L
671284,"Elko, Tim",R
671286,"Rodríguez, Johnathan",R
671289,"Freeman, Tyler",R
671732,"Butler, Lawrence",L
671739,"Harris II, Michael",L
672016,"Clarke, Denzel",R
672275,"Bailey, Patrick",S
672279,"Siani, Michael",L
672284,"Kelenic, Jarred",L
672356,"Arias, Gabriel",R
672359,"Ornelas, Tirso",L
672386,"Kirk, Alejandro",R
672515,"Moreno, Gabriel",R
672569,"Campero, Gustavo",L
672580,"Garcia, Maikel",R
672640,"Lopez, Otto",R
672695,"Perdomo, Geraldo",S
672724,"Peraza, Oswald",R
672744,"Canario, Alexander",R
672820,"Sosa, Lenyn",R
673237,"Diaz, Yainer",R
673357,"Robert Jr., Luis",R
673548,"Suzuki, Seiya",R
673962,"Jung, Josh",R
674441,"Hurtubise, Jacob",L
676059,"Westburg, Jordan",R
676070,"Amaya, Jacob",R
676356,"DeLuca, Jonny",R
676391,"Clement, Ernie",R
676439,"Feduccia, Hunter",L
676475,"Burleson, Alec",L
676480,"Barrero, Jose",R
676551,"Hicklen, Brewer",R
676572,"Wagaman, Eric",R
676609,"Caballero, José",R
676694,"Meyers, Jake",R
676701,"Trejo, Alan",R
676724,"Young, Jared",L
676801,"McCormick, Chas",R
676812,"McCusker, Carson",R
676914,"Schneider, Davis",R
677008,"Kjerstad, Heston",L
677347,"Paris, Kyren",R
677587,"Rocchio, Brayan",S
677588,"Tena, José",L
677594,"Rodríguez, Julio",R
677649,"Duran, Ezequiel",R
677800,"Abreu, Wilyer",L
677950,"Thomas, Alek",L
677951,"Witt Jr., Bobby",R
677956,"Hinds, Rece",R
678225,"Bae, Ji Hwan",L
678246,"Vargas, Miguel",R
678391,"Vivas, Jorbit",L
678489,"Barrosa, Jorge",S
678554,"Mead, Curtis",R
678662,"Tovar, Ezequiel",R
678877,"Noel, Jhonkensy",R
678882,"Rafaela, Ceddanne",R
678894,"Peguero, Liover",R
679032,"Rojas, Johan",R
679529,"Torkelson, Spencer",R
679845,"Loftin, Nick",R
680118,"Blanco, Dairon",R
680474,"Schuemann, Max",R
680574,"McLain, Matt",R
680577,"Keirsey Jr., DaShawn",L
680700,"Palacios, Richie",L
680716,"Ornelas, Jonathan",R
680718,"Barger, Addison",L
680757,"Kwan, Steven",L
680769,"Alexander, CJ",L
680776,"Duran, Jarren",L
680777,"Jeffers, Ryan",R
680779,"Davis, Henry",R
680837,"Fitzgerald, Ryan",L
680862,"MacIver, Willie",R
680911,"Miller, Owen",R
680977,"Donovan, Brendan",L
681082,"Stott, Bryson",L
681146,"Bride, Jonah",R
681297,"Cowser, Colton",L
681351,"O'Hoppe, Logan",R
681393,"Norby, Connor",R
681460,"Baldwin, Brooks",S
681481,"Carpenter, Kerry",L
681508,"Gasper, Mickey",S
681546,"Outman, James",L
681584,"Villar, David",R
681624,"Pages, Andy",R
681962,"Capra, Vinny",R
682177,"Schneemann, Daniel",L
682622,"Marte, Noelvi",R
682626,"Alvarez, Francisco",R
682641,"Matos, Luis",R
682657,"Martínez, Angel",S
682663,"Ramírez, Agustín",R
682668,"Acuña, Luisangel",R
682729,"Clase, Jonatan",S
682829,"De La Cruz, Elly",S
682848,"Rodríguez, Endy",S
682927,"Simon, Ronny",S
682928,"Abrams, CJ",L
682985,"Greene, Riley",L
682997,"Callihan, Tyler",L
682998,"Carroll, Corbin",L
683002,"Henderson, Gunnar",L
683011,"Volpe, Anthony",R
683021,"Stefanic, Michael",R
683083,"Nuñez, Nasim",S
683090,"Lugo, Matthew",R
683146,"Baty, Brett",L
683734,"Vaughn, Andrew",R
683737,"Busch, Michael",L
683766,"Koss, Christian",R
685301,"Gorski, Matt",R
686217,"Frelick, Sal",L
686469,"Pasquantino, Vinnie",L
686475,"Tolbert, Tyler",R
686527,"Canzone, Dominic",L
686554,"Dunn, Oliver",L
686555,"Collins, Isaac",S
686611,"Crews, Dylan",R
686668,"Doyle, Brenton",R
686676,"Lee, Korey",R
686681,"Massey, Michael",L
686765,"Sogard, Nick",S
686780,"Pagés, Pedro",R
686797,"Lee, Brooks",S
686823,"Brennan, Will",L
686948,"Baldwin, Drake",L
687221,"Rushing, Dalton",L
687263,"Neto, Zach",R
687363,"Scott II, Victor",L
687401,"Ortiz, Joey",R
687462,"Horwitz, Spencer",L
687597,"Beck, Jordan",R
687952,"Encarnacion-Strand, Christian",R
687957,"Harris, Dustin",L
688363,"Pauley, Graham",L
688760,"Crim, Blaine",R
689041,"Thomas, Rhylan",L
689172,"Wisely, Brett",L
689414,"Hicks, Liam",L
690291,"Jung, Jace",L
690924,"Fulford, Braxton",R
690987,"Hassell III, Robert",L
690993,"Keith, Colt",L
691016,"Soderstrom, Tyler",L
691023,"Walker, Jordan",R
691026,"Winn, Masyn",R
691176,"Domínguez, Jasson",S
691182,"Amador, Adael",S
691406,"Caminero, Junior",R
691594,"Sanoja, Javier",R
691718,"Crow-Armstrong, Pete",L
691723,"Mayo, Coby",R
691728,"Veen, Zac",L
691777,"Muncy, Max",R
691783,"Lawlar, Jordan",R
691785,"Mayer, Marcelo",L
691907,"Cheng, Tsung-Che",L
692225,"Campbell, Kristian",R
693304,"Gonzales, Nick",R
693307,"Dingler, Dillon",R
694192,"Chourio, Jackson",R
694208,"Ballesteros, Moisés",L
694359,"Kavadas, Niko",L
694362,"Dunn, Blake",R
694374,"Tawa, Tim",R
694384,"Schanuel, Nolan",L
694497,"Carter, Evan",L
694671,"Langford, Wyatt",R
695238,"Wagner, Will",L
695336,"Saggese, Thomas",R
695578,"Wood, James",L
695734,"Lile, Daylen",L
696030,"Osuna, Alejandro",L
696100,"Goodman, Hunter",R
696285,"Young, Jacob",R
700242,"Sweeney, Trey",L
700250,"Rice, Ben",L
700337,"Quero, Edgar",S
700932,"Manzardo, Kyle",L
701305,"Dezenzo, Zach",R
701358,"Smith, Cam",R
701538,"Merrill, Jackson",L
701762,"Kurtz, Nick",L
702176,"Roden, Alan",L
702332,"Durbin, Caleb",R
702358,"Lipscomb, Trey",R
702616,"Holliday, Jackson",L
802415,"Simpson, Chandler",L
805367,"Meidroth, Chase",R
805779,"Wilson, Jacob",R
807712,"Keaschall, Luke",R
807713,"Shaw, Matt",R
808975,"Kim, Hyeseong",L
808982,"Lee, Jung Hoo",L
810938,"Williamson, Ben",R
